"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus","uncultured_bacterium"
"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_perfringens"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella",NA
"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_sp."
"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_taiwanensis"
"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
