Genus,Mature
Prevotella,0.146793075
Erysipelatoclostridiaceae_UCG-004,0.113625989
Alloprevotella,0.090844414
Prevotellaceae_UCG-001,0.073911983
Unassigned Prevotellaceae,0.05621682
Rikenellaceae_RC9_gut_group,0.054200419
Asteroleplasma,0.053767825
Muribaculaceae,0.052794557
Lachnospiraceae_NK3A20_group,0.045617081
Atopobium,0.03234932
Unassigned Lachnospiraceae,0.030625065
Uncultured,0.02304207
Roseburia,0.020069936
Lachnospira,0.019407397
Uncultured Coriobacteriales,0.015695857
Unassigned [Eubacterium]_coprostanoligenes_group,0.013811191
Coprococcus,0.013744028
Clostridia_UCG-014,0.010879588
Clostridia_vadinBB60_group,0.009642132
Ruminococcus,0.009573479
Anaeroplasma,0.007942801
Succinivibrio,0.007800533
UCG-010,0.004653653
Gastranaerophilales,0.004516237
Solobacterium,0.004252821
Uncultured Bacteroidales,0.003967348
Unassigned Coriobacteriales,0.003856621
UCG-005,0.003745343
Lachnospiraceae_NK4A136_group,0.003557914
Selenomonas,0.003345614
Sutterella,0.003245806
Colidextribacter,0.002642215
Lachnospiraceae,0.002597274
RF39,0.002269837
Fournierella,0.002237413
Lachnospiraceae_UCG-001,0.002155581
[Eubacterium]_ruminantium_group,0.002136722
Bacteroides,0.002093104
Uncultured Ruminococcaceae,0.001896521
Phoenicibacter,0.001832611
Prevotellaceae_NK3B31_group,0.001801676
Campylobacter,0.001725027
Lachnospiraceae_ND3007_group,0.001698448
UCG-008,0.001659683
Uncultured Rhodospirillales,0.001439113
Bifidobacterium,0.001436686
Enterorhabdus,0.001406744
Prevotellaceae_UCG-003,0.00132017
NK4A214_group,0.001307432
Unassigned Ruminococcaceae,0.001271093
UCG-003,0.001255102
Lachnospiraceae_AC2044_group,0.001240434
Unassigned Selenomonadaceae,0.001007952
Lachnospiraceae_UCG-003,0.000971613
[Eubacterium]_eligens_group,0.000919834
UCG-002,0.000792896
Collinsella,0.000731026
Unassigned Bacilli,0.000680681
Helicobacter,0.000644673
Sarcina,0.000625262
Butyrivibrio,0.000587821
Monoglobus,0.000585174
[Eubacterium]_hallii_group,0.000534608
Unassigned Oscillospiraceae,0.000514812
Catenisphaera,0.000513488
Blautia,0.000498655
Lachnospiraceae_UCG-008,0.000490604
Lachnospiraceae_UCG-004,0.00045614
[Eubacterium]_siraeum_group,0.00044649
[Eubacterium]_xylanophilum_group,0.000434965
Izemoplasmatales,0.000430719
Unassigned Erysipelatoclostridiaceae,0.000426804
Slackia,0.000423661
Oscillospira,0.000419139
Unassigned Atopobiaceae,0.000409324
Oscillibacter,0.000409269
Family_XIII_AD3011_group,0.000384234
Christensenellaceae_R-7_group,0.000373316
Incertae_Sedis,0.000371165
Sphaerochaeta,0.000365761
Clostridium_sensu_stricto_1,0.000345414
Lachnospiraceae_FCS020_group,0.000331959
Anaerosporobacter,0.000262038
[Eubacterium]_ventriosum_group,0.00023987
Microcystis_PCC-7914,0.000239705
Elusimicrobium,0.000231213
Subdoligranulum,0.000227574
Coriobacteriaceae_UCG-003,0.000216711
EMP-G18,0.000197466
Unassigned Veillonellaceae,0.000194929
GCA-900066575,0.000192448
Unassigned Acholeplasmataceae,0.00018539
Neisseria,0.000182908
Oribacterium,0.000175133
Agathobacter,0.000170777
Candidatus_Soleaferrea,0.000169067
Unassigned Firmicutes,0.000167413
Dorea,0.000165704
Uncultured Oscillospiraceae,0.000163829
