"Genus","Immature","Mature"
" g__Bacteroides",0.0796574088646285,0.0323313031773079
" g__Colidextribacter",0.0277170806861762,0.044335807545066
" g__Desulfovibrio",0.00855980849354328,NA
" g__Fusobacterium",0.0115715622851558,NA
" g__Gastranaerophilales",0.1330903608969,0.0279357469249142
" g__Lachnoclostridium",0.0174062140200618,NA
" g__Muribaculaceae",0.345321262020923,0.0432462638902828
" g__NK4A214_group",0.0078540840077199,NA
" g__Parabacteroides",0.0934587954641464,0.249510497036434
" g__Ruminococcus",0.0232872514019233,0.0951893528536889
" g__Tyzzerella",0.0136638862888997,0.0102135193652932
" g__[Eubacterium]_coprostanoligenes_group",0.0179694683045218,NA
" g__uncultured",0.012288883182718,0.142904983864587
NA,0.168335169431859,0.128239240548072
" g__Akkermansia",NA,0.00908397498192527
" g__Alistipes",NA,0.0477080118245011
" g__Cloacibacillus",NA,0.0588373812046815
" g__Lachnospiraceae_UCG-004",NA,0.0154415907813559
" g__Lonepinella",NA,0.0127259460797322
